price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
880000.0,2.0,1.0,375.0, UAE, Dubai, Palm Jumeirah,Apartment,Sale,Furnished,Ready,Q2 2028,Dukes The Palm
4550000.0,3.0,4.0,2562.0, UAE, Dubai, Jebel Ali,Townhouse,Sale,Unfurnished,Off-Plan,Q4 2025,Jebel Ali Village
1866000.0,1.0,2.0,830.0, UAE, Dubai, Jumeirah Islands,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,SERENIA DISTRICT - WEST
6552000.0,3.0,4.0,2650.0, UAE, Dubai, Jumeirah Islands,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,SERENIA DISTRICT - WEST
6505000.0,3.0,4.0,2642.0, UAE, Dubai, Jumeirah Islands,Apartment,Sale,Unfurnished,Off-Plan,Q4 2028,SERENIA DISTRICT - WEST
2300000.0,2.0,3.0,897.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2028,SERENIA DISTRICT - WEST
4100000.0,2.0,1.0,712.0, UAE, Dubai, Jumeirah Beach Residence (JBR),Apartment,Sale,Furnished,Ready,Q4 2028,FIVE Luxe
2600000.0,2.0,3.0,1770.0, UAE, Dubai, Mudon,Townhouse,Sale,Unfurnished,Ready,Q4 2028,FIVE Luxe
595000.0,2.0,1.0,342.0, UAE, Dubai, Al Furjan,Apartment,Sale,Unfurnished,Ready,Q4 2028,FIVE Luxe
1180000.0,1.0,1.0,894.0, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Ready,Q4 2028,FIVE Luxe
750000.0,1.0,2.0,774.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Unfurnished,Ready,Q4 2028,FIVE Luxe
10000000.0,4.0,6.0,3279.0, UAE, Dubai, Mohammed Bin Rashid City,Villa,Sale,Furnished,Ready,Q4 2028,District One
1200000.0,1.0,2.0,875.0, UAE, Dubai, Jumeirah Village Triangle (JVT),Apartment,Sale,Unfurnished,Ready,Q4 2028,District One
10500000.0,3.0,5.0,2530.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q4 2026,LIV LUX
10329999.0,5.0,6.0,4692.0, UAE, Dubai, Dubailand,Villa,Sale,Unfurnished,Off-Plan,Q2 2026,Sobha Reserve
2100000.0,3.0,4.0,1765.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Ready,Q2 2026,The Zen
2400000.0,2.0,1.0,335.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Furnished,Off-Plan,Q2 2025,Ciel
3396295.0,1.0,2.0,3903.0, UAE, Dubai, Downtown Dubai,Apartment,Sale,Unfurnished,Off-Plan,Q4 2027,25H Heimat
6500000.0,2.0,2.0,1186.0, UAE, Dubai, Dubai Harbour,Apartment,Sale,Unfurnished,Ready,Q4 2027,25H Heimat
6500000.0,4.0,4.0,2430.0, UAE, Dubai, Tilal Al Ghaf,Villa,Sale,Unfurnished,Ready,Q4 2027,Aura
